team1,team2,winner,margin,matchDate,match_id
CSK,KKR,CSK,27 runs,"Oct 15, 2021",T203817
DC,KKR,KKR,3 wickets,"Oct 13, 2021",T206442
RCB,KKR,KKR,4 wickets,"Oct 11, 2021",T208597
DC,CSK,CSK,4 wickets,"Oct 10, 2021",T201819
DC,RCB,RCB,7 wickets,"Oct 8, 2021",T205942
MI,SRH,MI,42 runs,"Oct 8, 2021",T201979
KKR,RR,KKR,86 runs,"Oct 7, 2021",T204179
CSK,PBKS,PBKS,6 wickets,"Oct 7, 2021",T201866
SRH,RCB,SRH,4 runs,"Oct 6, 2021",T209992
RR,MI,MI,8 wickets,"Oct 5, 2021",T205599
CSK,DC,DC,3 wickets,"Oct 4, 2021",T207682
SRH,KKR,KKR,6 wickets,"Oct 3, 2021",T207430
RCB,PBKS,RCB,6 runs,"Oct 3, 2021",T207754
CSK,RR,RR,7 wickets,"Oct 2, 2021",T205672
MI,DC,DC,4 wickets,"Oct 2, 2021",T209349
KKR,PBKS,PBKS,5 wickets,"Oct 1, 2021",T201051
SRH,CSK,CSK,6 wickets,"Sep 30, 2021",T203061
RR,RCB,RCB,7 wickets,"Sep 29, 2021",T204742
PBKS,MI,MI,6 wickets,"Sep 28, 2021",T208262
DC,KKR,KKR,3 wickets,"Sep 28, 2021",T206700
RR,SRH,SRH,7 wickets,"Sep 27, 2021",T206862
RCB,MI,RCB,54 runs,"Sep 26, 2021",T203043
KKR,CSK,CSK,2 wickets,"Sep 26, 2021",T202406
PBKS,SRH,PBKS,5 runs,"Sep 25, 2021",T203188
DC,RR,DC,33 runs,"Sep 25, 2021",T202046
RCB,CSK,CSK,6 wickets,"Sep 24, 2021",T207776
MI,KKR,KKR,7 wickets,"Sep 23, 2021",T202680
SRH,DC,DC,8 wickets,"Sep 22, 2021",T204364
RR,PBKS,RR,2 runs,"Sep 21, 2021",T207857
RCB,KKR,KKR,9 wickets,"Sep 20, 2021",T204307
CSK,MI,CSK,20 runs,"Sep 19, 2021",T201256
PBKS,DC,DC,7 wickets,"May 2, 2021",T208407
RR,SRH,RR,55 runs,"May 2, 2021",T209103
CSK,MI,MI,4 wickets,"May 1, 2021",T203694
PBKS,RCB,PBKS,34 runs,"Apr 30, 2021",T208245
