name,team,battingStyle,bowlingStyle,playingRole
RuturajGaikwad,CSK,Right hand Bat,Right arm Offbreak,Batter
FafduPlessis,CSK,Right hand Bat,Legbreak,Middle order Batter
RobinUthappa,CSK,Right hand Bat,Right arm Medium,Batter
MoeenAli,CSK,Left hand Bat,Right arm Offbreak,Batting Allrounder
ShubmanGill,KKR,Right hand Bat,Right arm Offbreak,Opening Batter
VenkateshIyer,KKR,Left hand Bat,Right arm Medium,Allrounder
NitishRana,KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter
SunilNarine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder
EoinMorgan,KKR,Left hand Bat,Right arm Medium,Middle order Batter
DineshKarthik,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
ShakibAlHasan,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
RahulTripathi,KKR,Right hand Bat,Right arm Medium,Top order Batter
LockieFerguson,KKR,Right hand Bat,Right arm Fast,Bowler
ShivamMavi,KKR,Right hand Bat,Right arm Fast medium,Bowler
VarunChakravarthy,KKR,Right hand Bat,Legbreak Googly,Bowler
DeepakChahar,CSK,Right hand Bat,Right arm Medium,Bowler
JoshHazlewood,CSK,Left hand Bat,Right arm Fast medium,Bowler
ShardulThakur,CSK,Right hand Bat,Right arm Medium,Bowler
DwayneBravo,CSK,Right hand Bat,Right arm Medium,Allrounder
RavindraJadeja,CSK,Left hand Bat,Slow Left arm Orthodox,Allrounder
PrithviShaw,DC,Right hand Bat,Right arm Offbreak,Opening Batter
ShikharDhawan,DC,Left hand Bat,Right arm Offbreak,Opening Batter
MarcusStoinis,DC,Right hand Bat,Right arm Medium,Batting Allrounder
ShreyasIyer,DC,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter
RishabhPant,DC,Left hand Bat,Not Available,Wicketkeeper Batter
ShimronHetmyer,DC,Left hand Bat,Not Available,Top order Batter
AxarPatel,DC,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
AnrichNortje,DC,Right hand Bat,Right arm Fast,Bowler
RavichandranAshwin,DC,Right hand Bat,Right arm Offbreak,Bowling Allrounder
AveshKhan,DC,Right hand Bat,Right arm Fast medium,Bowler
KagisoRabada,DC,Left hand Bat,Right arm Fast,Bowler
DevduttPadikkal,RCB,Left hand Bat,Right arm Offbreak,Top order Batter
ViratKohli,RCB,Right hand Bat,Right arm Medium,Top order Batter
SrikarBharat,RCB,Right hand Bat,Not Available,Wicketkeeper Batter
GlennMaxwell,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder
