Team,Player,Role
CSK,MSDhoni,WK-Batsman
CSK,Ruturaj Gaikwad,Batsman
CSK,Deepak Chahar,Bowler
CSK,Tushar Deshpande,Bowler
CSK,Maheesh Theekshana,Bowler
CSK,Simranjeet Singh,Bowler
CSK,Matheesha Pathirana,Bowler
CSK,Prashant Solanki,Bowler
CSK,Mitchell Santner,Bowler
CSK,Rajvardhan Hangargekar,Bowler
CSK,Ravindra Jadeja,All-rounder
CSK,Moeen Ali,All-rounder
CSK,Shivam Dube,All-rounder
CSK,Ajinkya Rahane,Batsman
CSK,Nishant Sindhu,All-rounder
CSK,Shaik Rasheed,Batsman
CSK,Ajay Mandal,Bowler
CSK,Mukesh Choudhary,Bowler
CSK,Rachin Ravindra,All-rounder
CSK,Shardul Thakur,All-rounder
CSK,Daryl Mitchell,All-rounder
CSK,Sameer Rizvi,Batsman
CSK,Mustafizur Rahman,Bowler
CSK,Avanish Rao Aravelly,WK-Batsman
DC,Rishabh Pant,Bowler
DC,Abhishek Porel,Bowler
DC,Prithvi Shaw,Batsman
DC,David Warner,Batsman
DC,Yash Dhull,Batsman
DC,Anrich Nortje,Bowler
DC,Khaleel Ahmed,Bowler
DC,Praveen Dubey,Bowler
DC,Kuldeep Yadav,Bowler
DC,Axar Patel,All-rounder
DC,Mitchell Marsh,All-rounder
DC,Lalit Yadav,All-rounder
DC,Vicky Ostwal,All-rounder
DC,Ishant Sharma,Bowler
DC,Mukesh Kumar,Bowler
DC,Tristan Stubbs,Bowler
DC,Ricky Bhui,Bowler
DC,Kumar Kushagra,Bowler
DC,Rasikh Dar,Bowler
DC,Jhye Richardson,Bowler
DC,Sumit Kumar,All-rounder
DC,Shai Hope,Bowler
DC,Swastik Chikara,Batsman
DC,Jake Fraser-McGurk,All-rounder
GT,Shubman Gill,Batsman
GT,Sai Sudarshan,Batsman
GT,Abhinav Manohar,Batsman
GT,David Miller,Batsman
GT,Kane Williamson,Batsman
GT,Matthew Wade,WK-Batsman
GT,Wriddhiman Saha,WK-Batsman
GT,Rashid Khan,Bowler
GT,Darshan Nalkande,Bowler
GT,R Sai Kishore,Bowler
GT,Noor Ahmad,Bowler
GT,Vijay Shankar,All-rounder
GT,Jayant Yadav,All-rounder
GT,Rahul Tewatia,All-rounder
GT,Joshua Little,Bowler
GT,Mohit Sharma,Bowler
GT,Azmatullah Omarzai,All-rounder
GT,Umesh Yadav,Bowler
GT,MShahrukh Khan,All-rounder
GT,Sushant Mishra,Bowler
GT,Kartik Tyagi,Bowler
GT,Manav Suthar,Bowler
GT,Spencer Johnson,Bowler
GT,B R Sharath,WK-Batsman
GT,Sandeep Warrier,Bowler
KKR,Shreyas Iyer,Batsman
KKR,Nitish Rana,Batsman
KKR,Rinku Singh,Batsman
KKR,Varun Chakravarty,Bowler
KKR,Andre Russell,All-rounder
KKR,Venkatesh Iyer,All-rounder
KKR,Sunil Narine,All-rounder
KKR,Anukul Roy,All-rounder
KKR,Rahmanullah Gurbaz,WK-Batsman
KKR,Harshit Rana,Bowler
KKR,Vaibhav Arora,Bowler
KKR,Suyash Sharma,Bowler
KKR,Phil Salt,WK-Batsman
KKR,KS Bharat,WK-Batsman
KKR,Chetan Sakaria,Bowler
KKR,Mitchell Starc,Bowler
KKR,Angkrish Raghuvanshi,Batsman
KKR,Ramandeep Singh,All-rounder
KKR,Sherfane Rutherford,Batsman
KKR,Manish Pandey,Batsman
KKR,Allah Ghazanfar,Bowler
KKR,Sakib Hussain,Bowler
KKR,Dushmantha Chameera,Bowler
LSG,KLRahul,WK-Batsman
